station_id,num_bikes_available,vehicle_types_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,Reported_Time,Hour,Day_of_Week,Month
38,11,"[{'vehicle_type_id': 'mechanical', 'count': 7}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,29,0,True,False,True,1786761404,2026-08-15 03:36:44+01:00,3,5,8
39,2,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 2}]",0,17,1,True,False,True,1786685143,2026-08-14 06:25:43+01:00,6,4,8
40,16,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,5,0,True,False,True,1786677675,2026-08-14 04:21:15+01:00,4,4,8
41,6,"[{'vehicle_type_id': 'mechanical', 'count': 5}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,14,0,True,False,True,1786727897,2026-08-14 18:18:17+01:00,18,4,8
42,27,"[{'vehicle_type_id': 'mechanical', 'count': 22}, {'vehicle_type_id': 'electrical', 'count': 5}]",0,3,0,True,False,True,1786672980,2026-08-14 03:03:00+01:00,3,4,8
43,25,"[{'vehicle_type_id': 'mechanical', 'count': 17}, {'vehicle_type_id': 'electrical', 'count': 8}]",0,5,0,True,False,True,1786759371,2026-08-15 03:02:51+01:00,3,5,8
44,16,"[{'vehicle_type_id': 'mechanical', 'count': 10}, {'vehicle_type_id': 'electrical', 'count': 6}]",0,14,0,True,False,True,1786703060,2026-08-14 11:24:20+01:00,11,4,8
45,11,"[{'vehicle_type_id': 'mechanical', 'count': 7}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,19,0,True,False,True,1786672975,2026-08-14 03:02:55+01:00,3,4,8
47,3,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,37,0,True,False,True,1786674839,2026-08-14 03:33:59+01:00,3,4,8
48,17,"[{'vehicle_type_id': 'mechanical', 'count': 10}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,23,0,True,False,True,1786759374,2026-08-15 03:02:54+01:00,3,5,8
49,27,"[{'vehicle_type_id': 'mechanical', 'count': 18}, {'vehicle_type_id': 'electrical', 'count': 9}]",0,13,0,True,False,True,1786725635,2026-08-14 17:40:35+01:00,17,4,8
50,39,"[{'vehicle_type_id': 'mechanical', 'count': 22}, {'vehicle_type_id': 'electrical', 'count': 17}]",0,1,0,True,False,True,1786672978,2026-08-14 03:02:58+01:00,3,4,8
51,11,"[{'vehicle_type_id': 'mechanical', 'count': 7}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,9,0,True,False,True,1786672981,2026-08-14 03:03:01+01:00,3,4,8
52,4,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,28,0,True,False,True,1786672969,2026-08-14 03:02:49+01:00,3,4,8
53,0,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,40,0,True,False,True,1786672979,2026-08-14 03:02:59+01:00,3,4,8
54,2,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,31,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
55,11,"[{'vehicle_type_id': 'mechanical', 'count': 9}, {'vehicle_type_id': 'electrical', 'count': 2}]",0,25,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
56,1,"[{'vehicle_type_id': 'mechanical', 'count': 1}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,39,0,True,False,True,1786679746,2026-08-14 04:55:46+01:00,4,4,8
57,5,"[{'vehicle_type_id': 'mechanical', 'count': 2}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,18,0,True,False,True,1786673017,2026-08-14 03:03:37+01:00,3,4,8
58,1,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,39,0,True,False,True,1786672978,2026-08-14 03:02:58+01:00,3,4,8
59,1,"[{'vehicle_type_id': 'mechanical', 'count': 1}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,19,0,True,False,True,1786733451,2026-08-14 19:50:51+01:00,19,4,8
60,6,"[{'vehicle_type_id': 'mechanical', 'count': 5}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,24,0,True,False,True,1786759381,2026-08-15 03:03:01+01:00,3,5,8
61,1,"[{'vehicle_type_id': 'mechanical', 'count': 1}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,24,0,True,False,True,1786672972,2026-08-14 03:02:52+01:00,3,4,8
62,4,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,29,0,True,False,True,1786702385,2026-08-14 11:13:05+01:00,11,4,8
63,12,"[{'vehicle_type_id': 'mechanical', 'count': 11}, {'vehicle_type_id': 'electrical', 'count': 1}]",0,23,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
64,15,"[{'vehicle_type_id': 'mechanical', 'count': 8}, {'vehicle_type_id': 'electrical', 'count': 7}]",0,25,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
65,7,"[{'vehicle_type_id': 'mechanical', 'count': 4}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,33,0,True,False,True,1786672969,2026-08-14 03:02:49+01:00,3,4,8
66,10,"[{'vehicle_type_id': 'mechanical', 'count': 6}, {'vehicle_type_id': 'electrical', 'count': 4}]",0,30,0,True,False,True,1786738394,2026-08-14 21:13:14+01:00,21,4,8
67,10,"[{'vehicle_type_id': 'mechanical', 'count': 5}, {'vehicle_type_id': 'electrical', 'count': 5}]",0,30,0,True,False,True,1786672978,2026-08-14 03:02:58+01:00,3,4,8
68,3,"[{'vehicle_type_id': 'mechanical', 'count': 3}, {'vehicle_type_id': 'electrical', 'count': 0}]",0,37,0,True,False,True,1786672970,2026-08-14 03:02:50+01:00,3,4,8
69,2,"[{'vehicle_type_id': 'mechanical', 'count': 0}, {'vehicle_type_id': 'electrical', 'count': 2}]",0,38,0,True,False,True,1786672980,2026-08-14 03:03:00+01:00,3,4,8
70,11,"[{'vehicle_type_id': 'mechanical', 'count': 5}, {'vehicle_type_id': 'electrical', 'count': 6}]",0,10,0,True,False,True,1786759371,2026-08-15 03:02:51+01:00,3,5,8
71,13,"[{'vehicle_type_id': 'mechanical', 'count': 10}, {'vehicle_type_id': 'electrical', 'count': 3}]",0,27,0,True,False,True,1786728581,2026-08-14 18:29:41+01:00,18,4,8
72,21,"[{'vehicle_type_id': 'mechanical', 'count': 12}, {'vehicle_type_id': 'electrical', 'count': 9}]",0,10,0,True,False,True,1786728936,2026-08-14 18:35:36+01:00,18,4,8
73,26,"[{'vehicle_type_id': 'mechanical', 'count': 11}, {'vehicle_type_id': 'electrical', 'count': 15}]",0,4,0,True,False,True,1786759378,2026-08-15 03:02:58+01:00,3,5,8
74,27,"[{'vehicle_type_id': 'mechanical', 'count': 15}, {'vehicle_type_id': 'electrical', 'count': 12}]",0,3,0,True,False,True,1786672977,2026-08-14 03:02:57+01:00,3,4,8
75,23,"[{'vehicle_type_id': 'mechanical', 'count': 9}, {'vehicle_type_id': 'electrical', 'count': 14}]",0,17,0,True,False,True,1786672980,2026-08-14 03:03:00+01:00,3,4,8
76,15,"[{'vehicle_type_id': 'mechanical', 'count': 10}, {'vehicle_type_id': 'electrical', 'count': 5}]",0,23,0,True,False,True,1786672980,2026-08-14 03:03:00+01:00,3,4,8
